Contiguous U.S. Statewide Average Temperature,,,,,,
Units: Degrees Fahrenheit,,,,,,
Missing: -99,Rank out of 127 Years,,,,,
800,Florida,201804,70.2,85,0.9,69.3
800,Florida,201805,76.4,99,1.3,75.1
800,Florida,201806,81.5,117,2,79.5
800,Florida,201807,82.4,113,1.4,81
800,Florida,201808,82.2,107,1.2,81
800,Florida,201809,82.4,126,3.3,79.1
800,Florida,201810,76.5,121,4.2,72.3
800,Florida,201811,66.7,101,2.4,64.3
800,Florida,201812,61.8,91,3,58.8
800,Florida,201901,58.4,77,0.6,57.8
800,Florida,201902,67.5,126,8.1,59.4
800,Florida,201903,65.7,81,1.7,64
800,Florida,201904,71.2,102,1.9,69.3
800,Florida,201905,78.8,127,3.7,75.1
800,Florida,201906,82.3,125,2.8,79.5
800,Florida,201907,82.8,121,1.8,81
800,Florida,201908,82.9,119,1.8,81.1
800,Florida,201909,81.9,124,2.8,79.1
800,Florida,201910,77.9,125,5.6,72.3
800,Florida,201911,64.9,73,0.6,64.3
800,Florida,201912,63.9,115,5.1,58.8
800,Florida,202001,61.7,108,3.9,57.8
800,Florida,202002,63.5,106,4.1,59.4
800,Florida,202003,71,127,7,64
800,Florida,202004,73,122,3.7,69.3
800,Florida,202005,75.8,82,0.7,75.1
800,Florida,202006,81,107,1.5,79.5
800,Florida,202007,83,123,2,81
800,Florida,202008,83.2,123,2.2,81
800,Florida,202009,80.6,117,1.5,79.1
800,Florida,202010,77.1,124,4.8,72.3
800,Florida,202011,70.7,123,6.4,64.3
800,Florida,202012,57.6,49,-1.2,58.8
800,Florida,202101,58.6,81,0.8,57.8
800,Florida,202102,63.7,107,4.3,59.4
800,Florida,202103,67.7,113,3.7,64
800,Florida,202104,69.9,80,0.6,69.3
800,Florida,202105,76.4,99,1.3,75.1
800,Florida,202106,81.1,111,1.6,79.5
800,Florida,202107,82.3,108,1.3,81
900,Georgia,201501,44.9,53,-1.2,46.1
900,Georgia,201502,43.2,12,-5.4,48.6
900,Georgia,201503,58.8,100,3.4,55.4
900,Georgia,201504,66.8,119,3.8,63
900,Georgia,201505,72.4,93,1.4,71
900,Georgia,201506,79.3,106,1.9,77.4
900,Georgia,201507,81.5,110,1.8,79.7
900,Georgia,201508,79.5,84,0.5,79
900,Georgia,201509,73.8,51,-0.7,74.5
900,Georgia,201510,64.8,73,0.6,64.2
900,Georgia,201511,59.8,122,5.6,54.2
900,Georgia,201512,58.9,126,11.8,47.1
900,Georgia,201601,44.4,44,-1.7,46.1
900,Georgia,201602,50,80,1.4,48.6
900,Georgia,201603,60.9,120,5.5,55.4
900,Georgia,201604,63.9,80,0.9,63
900,Georgia,201605,70.8,60,-0.2,71
900,Georgia,201606,79.7,113,2.3,77.4
900,Georgia,201607,82.8,125,3.1,79.7
900,Georgia,201608,81.6,119,2.6,79
900,Georgia,201609,77.5,116,3,74.5
900,Georgia,201610,67.8,113,3.6,64.2
900,Georgia,201611,58,110,3.8,54.2
900,Georgia,201612,52.1,113,5,47.1
900,Georgia,201701,53.2,121,7.1,46.1
900,Georgia,201702,56.5,125,7.9,48.6
900,Georgia,201703,58,87,2.6,55.4
900,Georgia,201704,67.5,124,4.5,63
900,Georgia,201705,71.4,73,0.4,71
900,Georgia,201706,76.6,34,-0.8,77.4
900,Georgia,201707,80.6,91,0.9,79.7
900,Georgia,201708,79.4,79,0.4,79
900,Georgia,201709,74,56,-0.5,74.5
900,Georgia,201710,67,108,2.8,64.2
900,Georgia,201711,56.4,95,2.2,54.2
900,Georgia,201712,49.3,87,2.2,47.1
900,Georgia,201801,42.5,25,-3.6,46.1
900,Georgia,201802,59.2,127,10.6,48.6
900,Georgia,201803,54.5,49,-0.9,55.4
900,Georgia,201804,60.6,15,-2.4,63
900,Georgia,201805,73.7,113,2.7,71
900,Georgia,201806,79.3,106,1.9,77.4
900,Georgia,201807,80.2,79,0.5,79.7
900,Georgia,201808,79.4,79,0.4,79
900,Georgia,201809,79.8,124,5.3,74.5
900,Georgia,201810,68.4,118,4.2,64.2
900,Georgia,201811,53.2,50,-1,54.2
900,Georgia,201812,50.2,93,3.1,47.1
900,Georgia,201901,48.2,89,2.1,46.1
900,Georgia,201902,56.1,122,7.5,48.6
900,Georgia,201903,56.3,73,0.9,55.4
900,Georgia,201904,64.6,95,1.6,63
900,Georgia,201905,75.7,126,4.7,71
900,Georgia,201906,78.1,82,0.7,77.4
900,Georgia,201907,81,102,1.3,79.7
900,Georgia,201908,80.7,110,1.7,79
900,Georgia,201909,79.1,122,4.6,74.5
900,Georgia,201910,69.7,124,5.5,64.2
900,Georgia,201911,52.8,44,-1.4,54.2
900,Georgia,201912,52.3,114,5.2,47.1
900,Georgia,202001,51.4,112,5.3,46.1
900,Georgia,202002,51.8,99,3.2,48.6
900,Georgia,202003,63,123,7.6,55.4
900,Georgia,202004,63,61,0,63
900,Georgia,202005,69.2,24,-1.8,71
900,Georgia,202006,76.9,44,-0.5,77.4
900,Georgia,202007,81.4,109,1.7,79.7
900,Georgia,202008,80.3,103,1.3,79
900,Georgia,202009,74.2,61,-0.3,74.5
900,Georgia,202010,68.5,119,4.3,64.2
900,Georgia,202011,60.4,124,6.2,54.2
900,Georgia,202012,46.4,49,-0.7,47.1
900,Georgia,202101,47.5,85,1.4,46.1
900,Georgia,202102,49.4,73,0.8,48.6
900,Georgia,202103,59.8,113,4.4,55.4
900,Georgia,202104,61.9,38,-1.1,63
900,Georgia,202105,69.5,29,-1.5,71
900,Georgia,202106,77.2,49,-0.2,77.4
900,Georgia,202107,79.4,52,-0.3,79.7
1000,Idaho,201501,28.7,122,6.7,22
1000,Idaho,201502,35.2,125,8.8,26.4
1000,Idaho,201503,40.8,125,8.2,32.6
1000,Idaho,201504,42.3,87,1.3,41
1000,Idaho,201505,51.8,104,2.5,49.3
1000,Idaho,201506,64.7,126,8,56.7
1000,Idaho,201507,65.1,48,0,65.1
1000,Idaho,201508,65.8,101,2.2,63.6
1000,Idaho,201509,57.2,104,2.5,54.7
1000,Idaho,201510,50.7,125,6.6,44.1
1000,Idaho,201511,29.9,33,-1.7,31.6
1000,Idaho,201512,24.3,59,0.4,23.9
1000,Idaho,201601,25.8,96,3.8,22
1000,Idaho,201602,31.9,114,5.5,26.4
1000,Idaho,201603,37,116,4.4,32.6
1000,Idaho,201604,47,125,6,41
1000,Idaho,201605,50.6,88,1.3,49.3
1000,Idaho,201606,61.2,119,4.5,56.7
1000,Idaho,201607,64.8,46,-0.3,65.1
1000,Idaho,201608,64.7,79,1.1,63.6
1000,Idaho,201609,54.6,48,-0.1,54.7
1000,Idaho,201610,45.7,96,1.6,44.1
1000,Idaho,201611,38.7,125,7.1,31.6
1000,Idaho,201612,19.1,17,-4.8,23.9
1000,Idaho,201701,18.5,21,-3.5,22
1000,Idaho,201702,29.5,96,3.1,26.4
1000,Idaho,201703,38.5,120,5.9,32.6
1000,Idaho,201704,40.3,54,-0.7,41
1000,Idaho,201705,50.6,88,1.3,49.3
1000,Idaho,201706,59.1,102,2.4,56.7
1000,Idaho,201707,70,123,4.9,65.1
1000,Idaho,201708,66.9,113,3.3,63.6
1000,Idaho,201709,55.7,77,1,54.7
1000,Idaho,201710,41.9,27,-2.2,44.1
1000,Idaho,201711,34.9,107,3.3,31.6
1000,Idaho,201712,25.2,76,1.3,23.9
1000,Idaho,201801,30.4,124,8.4,22
1000,Idaho,201802,26.2,52,-0.2,26.4
1000,Idaho,201803,33.7,71,1.1,32.6
1000,Idaho,201804,42.4,88,1.4,41
1000,Idaho,201805,54,122,4.7,49.3
1000,Idaho,201806,57.7,83,1,56.7
1000,Idaho,201807,68.4,114,3.3,65.1
1000,Idaho,201808,65,90,1.4,63.6
1000,Idaho,201809,56.2,87,1.5,54.7
1000,Idaho,201810,44,59,-0.1,44.1
1000,Idaho,201811,32,62,0.4,31.6
1000,Idaho,201812,24.3,59,0.4,23.9
1000,Idaho,201901,26.3,98,4.3,22
1000,Idaho,201902,23.2,27,-3.2,26.4
1000,Idaho,201903,32.4,53,-0.2,32.6
1000,Idaho,201904,42.9,94,1.9,41
1000,Idaho,201905,49.8,73,0.5,49.3
1000,Idaho,201906,57.2,76,0.5,56.7
1000,Idaho,201907,65.5,61,0.4,65.1
1000,Idaho,201908,66,104,2.4,63.6
1000,Idaho,201909,55,61,0.3,54.7
1000,Idaho,201910,36.6,1,-7.5,44.1
1000,Idaho,201911,34.3,100,2.7,31.6
1000,Idaho,201912,26.6,97,2.7,23.9
1000,Idaho,202001,27.3,112,5.3,22
1000,Idaho,202002,26.4,56,0,26.4
1000,Idaho,202003,35.1,96,2.5,32.6
1000,Idaho,202004,41.6,72,0.6,41
1000,Idaho,202005,50.6,88,1.3,49.3
1000,Idaho,202006,56.2,49,-0.5,56.7
1000,Idaho,202007,64.9,47,-0.2,65.1
1000,Idaho,202008,67.1,119,3.5,63.6
1000,Idaho,202009,58.7,116,4,54.7
1000,Idaho,202010,45.4,88,1.3,44.1
1000,Idaho,202011,32.8,70,1.2,31.6
1000,Idaho,202012,26.4,94,2.5,23.9
1000,Idaho,202101,26.6,106,4.6,22
1000,Idaho,202102,25.4,45,-1,26.4
1000,Idaho,202103,35,93,2.4,32.6
1000,Idaho,202104,42,78,1,41
1000,Idaho,202105,49.8,73,0.5,49.3
1000,Idaho,202106,65.2,127,8.5,56.7
1000,Idaho,202107,71.8,126,6.7,65.1
1100,Illinois,201501,25.7,56,0.4,25.3
1100,Illinois,201502,19.4,8,-9.8,29.2
1100,Illinois,201503,38.3,47,-1.5,39.8
1100,Illinois,201504,54.3,103,2.8,51.5
1100,Illinois,201505,64.9,101,2.8,62.1
1100,Illinois,201506,71.7,61,0.3,71.4
1100,Illinois,201507,74.2,35,-1.4,75.6
1100,Illinois,201508,71.9,32,-1.5,73.4
1100,Illinois,201509,70.4,117,4.2,66.2
1100,Illinois,201510,56,88,1.4,54.6
1100,Illinois,201511,46.6,117,5.8,40.8
1100,Illinois,201512,41.1,126,11.7,29.4
1100,Illinois,201601,26.9,73,1.6,25.3
1100,Illinois,201602,33.8,101,4.6,29.2
1100,Illinois,201603,47.3,120,7.5,39.8
1100,Illinois,201604,53,85,1.5,51.5
1100,Illinois,201605,62,59,-0.1,62.1
1100,Illinois,201606,74.8,113,3.4,71.4
1100,Illinois,201607,75.6,74,0,75.6
1100,Illinois,201608,75.7,108,2.3,73.4
1100,Illinois,201609,70.8,119,4.6,66.2
1100,Illinois,201610,59.9,121,5.3,54.6
1100,Illinois,201611,48.1,122,7.3,40.8
1100,Illinois,201612,28.9,52,-0.5,29.4
1100,Illinois,201701,32.1,118,6.8,25.3
1100,Illinois,201702,41.1,127,11.9,29.2
1100,Illinois,201703,43.2,96,3.4,39.8
1100,Illinois,201704,56.5,116,5,51.5
1100,Illinois,201705,61.9,55,-0.2,62.1
1100,Illinois,201706,72.7,85,1.3,71.4
1100,Illinois,201707,76.1,83,0.5,75.6
1100,Illinois,201708,70.5,10,-2.9,73.4
1100,Illinois,201709,68.8,99,2.6,66.2
1100,Illinois,201710,58.1,109,3.5,54.6
1100,Illinois,201711,41.9,74,1.1,40.8
1100,Illinois,201712,29.8,56,0.4,29.4
1100,Illinois,201801,24.1,44,-1.2,25.3
1100,Illinois,201802,31.8,89,2.6,29.2
1100,Illinois,201803,39.2,55,-0.6,39.8
1100,Illinois,201804,44.8,2,-6.7,51.5
1100,Illinois,201805,70.7,127,8.6,62.1
1100,Illinois,201806,74.9,115,3.5,71.4
1100,Illinois,201807,75,52,-0.6,75.6
1100,Illinois,201808,74.7,96,1.3,73.4
1100,Illinois,201809,70.3,116,4.1,66.2
1100,Illinois,201810,54.2,54,-0.4,54.6
1100,Illinois,201811,35.6,9,-5.2,40.8
1100,Illinois,201812,34.4,106,5,29.4
1100,Illinois,201901,25.4,54,0.1,25.3
1100,Illinois,201902,29.3,63,0.1,29.2
1100,Illinois,201903,37.3,39,-2.5,39.8
1100,Illinois,201904,52.5,75,1,51.5
1100,Illinois,201905,62.5,67,0.4,62.1
1100,Illinois,201906,70.9,46,-0.5,71.4
1100,Illinois,201907,77.4,102,1.8,75.6
1100,Illinois,201908,72.8,46,-0.6,73.4
1100,Illinois,201909,71.6,123,5.4,66.2
1100,Illinois,201910,53.7,45,-0.9,54.6
1100,Illinois,201911,36.2,15,-4.6,40.8
1100,Illinois,201912,35.6,113,6.2,29.4
1100,Illinois,202001,31.9,115,6.6,25.3
1100,Illinois,202002,31.9,91,2.7,29.2
1100,Illinois,202003,44.4,107,4.6,39.8
1100,Illinois,202004,49.6,30,-1.9,51.5
1100,Illinois,202005,60.6,39,-1.5,62.1
1100,Illinois,202006,73.6,100,2.2,71.4
1100,Illinois,202007,77.2,99,1.6,75.6
1100,Illinois,202008,72.9,50,-0.5,73.4
1100,Illinois,202009,65.6,48,-0.6,66.2
1100,Illinois,202010,51.9,22,-2.7,54.6
1100,Illinois,202011,47.1,120,6.3,40.8
1100,Illinois,202012,33,92,3.6,29.4
1100,Illinois,202101,29.5,98,4.2,25.3
1100,Illinois,202102,20.7,11,-8.5,29.2
1100,Illinois,202103,46.1,116,6.3,39.8
1100,Illinois,202104,52.5,75,1,51.5
1100,Illinois,202105,61.2,48,-0.9,62.1
1100,Illinois,202106,74.1,107,2.7,71.4
1100,Illinois,202107,74.7,47,-0.9,75.6
1200,Indiana,201501,25.3,46,-1.2,26.5
1200,Indiana,201502,19.3,5,-10.1,29.4
1200,Indiana,201503,37.2,40,-2.3,39.5
1200,Indiana,201504,52.9,96,2.3,50.6
1200,Indiana,201505,65,107,3.7,61.3
1200,Indiana,201506,71,67,0.5,70.5
1200,Indiana,201507,72.9,29,-1.6,74.5
1200,Indiana,201508,70.6,26,-1.7,72.3
1200,Indiana,201509,68.8,103,3.1,65.7
1200,Indiana,201510,55.6,90,1.7,53.9
1200,Indiana,201511,46.6,118,5.5,41.1
1200,Indiana,201512,42.5,126,12.2,30.3
1200,Indiana,201601,27.5,70,1,26.5
1200,Indiana,201602,33.9,101,4.5,29.4
1200,Indiana,201603,47.3,121,7.8,39.5
1200,Indiana,201604,52,76,1.4,50.6
1200,Indiana,201605,60.6,53,-0.7,61.3
1200,Indiana,201606,72.9,105,2.4,70.5
1200,Indiana,201607,74.6,76,0.1,74.5
1200,Indiana,201608,75.7,116,3.4,72.3
1200,Indiana,201609,69.9,120,4.2,65.7
1200,Indiana,201610,59.5,121,5.6,53.9
1200,Indiana,201611,47,121,5.9,41.1
1200,Indiana,201612,29.8,50,-0.5,30.3
1200,Indiana,201701,33.8,118,7.3,26.5
1200,Indiana,201702,41.3,127,11.9,29.4
1200,Indiana,201703,42.6,95,3.1,39.5
1200,Indiana,201704,57,125,6.4,50.6
1200,Indiana,201705,60.9,56,-0.4,61.3
1200,Indiana,201706,71.1,70,0.6,70.5
1200,Indiana,201707,74.2,68,-0.3,74.5
1200,Indiana,201708,70,15,-2.3,72.3
1200,Indiana,201709,67.2,88,1.5,65.7
1200,Indiana,201710,57.6,112,3.7,53.9
1200,Indiana,201711,42.4,82,1.3,41.1
1200,Indiana,201712,29.6,47,-0.7,30.3
1200,Indiana,201801,24.5,42,-2,26.5
1200,Indiana,201802,35.1,108,5.7,29.4
1200,Indiana,201803,38.2,49,-1.3,39.5
1200,Indiana,201804,45.1,3,-5.5,50.6
1200,Indiana,201805,69.7,127,8.4,61.3
1200,Indiana,201806,73.4,111,2.9,70.5
1200,Indiana,201807,74.1,58,-0.4,74.5
1200,Indiana,201808,74,101,1.7,72.3
1200,Indiana,201809,69.9,120,4.2,65.7
1200,Indiana,201810,54.9,78,1,53.9
1200,Indiana,201811,36.8,13,-4.3,41.1
1200,Indiana,201812,35.4,107,5.1,30.3
1200,Indiana,201901,27,62,0.5,26.5
1200,Indiana,201902,32.3,89,2.9,29.4
1200,Indiana,201903,37.2,40,-2.3,39.5
1200,Indiana,201904,52.2,77,1.6,50.6
1200,Indiana,201905,62.6,77,1.3,61.3
1200,Indiana,201906,69.9,42,-0.6,70.5
1200,Indiana,201907,76.3,101,1.8,74.5
1200,Indiana,201908,72.3,62,0,72.3
1200,Indiana,201909,70.8,124,5.1,65.7
1200,Indiana,201910,55.5,88,1.6,53.9
1200,Indiana,201911,36.5,11,-4.6,41.1
1200,Indiana,201912,36.2,111,5.9,30.3
1200,Indiana,202001,34.3,120,7.8,26.5
1200,Indiana,202002,32.9,93,3.5,29.4
1200,Indiana,202003,44.6,109,5.1,39.5
1200,Indiana,202004,48.9,32,-1.7,50.6
1200,Indiana,202005,59.7,41,-1.6,61.3
1200,Indiana,202006,72,88,1.5,70.5
1200,Indiana,202007,76.5,106,2,74.5
1200,Indiana,202008,72,55,-0.3,72.3
1200,Indiana,202009,65.2,54,-0.5,65.7
1200,Indiana,202010,53.1,45,-0.8,53.9
1200,Indiana,202011,46.6,118,5.5,41.1
1200,Indiana,202012,33.6,94,3.3,30.3
1200,Indiana,202101,30.5,96,4,26.5
1200,Indiana,202102,23.7,21,-5.7,29.4
1200,Indiana,202103,45.8,114,6.3,39.5
1200,Indiana,202104,51.9,75,1.3,50.6
1200,Indiana,202105,59.7,41,-1.6,61.3
1200,Indiana,202106,72.8,103,2.3,70.5
1200,Indiana,202107,73.8,51,-0.7,74.5
1300,Iowa,201501,21.6,93,3.9,17.7
1300,Iowa,201502,14.5,13,-8.2,22.7
1300,Iowa,201503,37.3,86,2.7,34.6
1300,Iowa,201504,51.1,100,3,48.1
1300,Iowa,201505,60,73,0.2,59.8
1300,Iowa,201506,69.4,65,0.3,69.1
1300,Iowa,201507,72,29,-1.9,73.9
1300,Iowa,201508,68.9,23,-2.5,71.4
1300,Iowa,201509,68.4,124,5.4,63
1300,Iowa,201510,53,89,1.6,51.4
1300,Iowa,201511,42,120,6.3,35.7
1300,Iowa,201512,33,126,10.3,22.7
1300,Iowa,201601,19.6,78,1.9,17.7
1300,Iowa,201602,28.6,107,5.9,22.7
1300,Iowa,201603,42.4,122,7.8,34.6
1300,Iowa,201604,50.1,93,2,48.1
1300,Iowa,201605,59.5,66,-0.3,59.8
1300,Iowa,201606,73,116,3.9,69.1
1300,Iowa,201607,72.8,48,-1.1,73.9
1300,Iowa,201608,72,85,0.6,71.4
1300,Iowa,201609,67.3,116,4.3,63
1300,Iowa,201610,55.3,110,3.9,51.4
1300,Iowa,201611,45.1,125,9.4,35.7
1300,Iowa,201612,22.9,55,0.2,22.7
1300,Iowa,201701,24.2,110,6.5,17.7
1300,Iowa,201702,34.5,125,11.8,22.7
1300,Iowa,201703,37.5,87,2.9,34.6
1300,Iowa,201704,51.1,100,3,48.1
1300,Iowa,201705,58.5,44,-1.3,59.8
1300,Iowa,201706,71.1,99,2,69.1
1300,Iowa,201707,74.7,85,0.8,73.9
1300,Iowa,201708,67.8,8,-3.6,71.4
1300,Iowa,201709,66.7,110,3.7,63
1300,Iowa,201710,53.3,94,1.9,51.4
1300,Iowa,201711,36.2,63,0.5,35.7
1300,Iowa,201712,24.4,67,1.7,22.7
1300,Iowa,201801,17.8,58,0.1,17.7
1300,Iowa,201802,20.5,52,-2.2,22.7
1300,Iowa,201803,35.2,67,0.6,34.6
1300,Iowa,201804,39.3,1,-8.8,48.1
1300,Iowa,201805,67,125,7.2,59.8
1300,Iowa,201806,73.1,117,4,69.1
1300,Iowa,201807,73.1,50,-0.8,73.9
1300,Iowa,201808,71.8,77,0.4,71.4
1300,Iowa,201809,65.9,101,2.9,63
1300,Iowa,201810,48.2,21,-3.2,51.4
1300,Iowa,201811,30,11,-5.7,35.7
1300,Iowa,201812,28,104,5.3,22.7
1300,Iowa,201901,18.7,67,1,17.7
1300,Iowa,201902,15.3,15,-7.4,22.7
1300,Iowa,201903,31.1,35,-3.5,34.6
1300,Iowa,201904,49.2,77,1.1,48.1
1300,Iowa,201905,56.6,19,-3.2,59.8
1300,Iowa,201906,69.3,58,0.2,69.1
1300,Iowa,201907,75.1,90,1.2,73.9
1300,Iowa,201908,69.6,28,-1.8,71.4
1300,Iowa,201909,68.2,122,5.2,63
1300,Iowa,201910,47.1,14,-4.3,51.4
1300,Iowa,201911,32.4,29,-3.3,35.7
1300,Iowa,201912,29.2,113,6.5,22.7
1300,Iowa,202001,23,100,5.3,17.7
1300,Iowa,202002,24.8,82,2.1,22.7
1300,Iowa,202003,40.3,111,5.7,34.6
1300,Iowa,202004,46.6,36,-1.5,48.1
1300,Iowa,202005,57.6,32,-2.2,59.8
1300,Iowa,202006,72.9,113,3.8,69.1
1300,Iowa,202007,75.3,94,1.4,73.9
1300,Iowa,202008,71.9,82,0.5,71.4
1300,Iowa,202009,61.9,41,-1.1,63
1300,Iowa,202010,46,6,-5.4,51.4
1300,Iowa,202011,42,120,6.3,35.7
1300,Iowa,202012,27.2,99,4.5,22.7
1300,Iowa,202101,23.8,107,6.1,17.7
1300,Iowa,202102,12.4,6,-10.3,22.7
1300,Iowa,202103,42.3,121,7.7,34.6
1300,Iowa,202104,49.2,77,1.1,48.1
1300,Iowa,202105,58.9,52,-0.9,59.8
1300,Iowa,202106,73.4,119,4.3,69.1
1300,Iowa,202107,73.4,58,-0.5,73.9
1400,Kansas,201501,32.1,92,3.5,28.6
1400,Kansas,201502,31.2,45,-2.4,33.6
1400,Kansas,201503,46.8,104,4.4,42.4
1400,Kansas,201504,56.4,102,2.9,53.5
1400,Kansas,201505,61.7,34,-1.7,63.4
1400,Kansas,201506,75.8,99,2.4,73.4
1400,Kansas,201507,78.9,70,0,78.9
1400,Kansas,201508,75.2,23,-2.1,77.3
1400,Kansas,201509,74.2,121,5.6,68.6
1400,Kansas,201510,59.2,109,2.7,56.5
1400,Kansas,201511,46.5,115,4.5,42
1400,Kansas,201512,37.6,123,6.1,31.5
1400,Kansas,201601,32,91,3.4,28.6
1400,Kansas,201602,40.8,119,7.2,33.6
1400,Kansas,201603,49.7,121,7.3,42.4
1400,Kansas,201604,56.3,99,2.8,53.5
1400,Kansas,201605,61.6,32,-1.8,63.4
1400,Kansas,201606,77.5,117,4.2,73.3
1400,Kansas,201607,79.7,87,0.8,78.9
1400,Kansas,201608,76.4,47,-0.9,77.3
1400,Kansas,201609,70.8,96,2.2,68.6
1400,Kansas,201610,61.5,121,5,56.5
1400,Kansas,201611,49.9,125,7.9,42
1400,Kansas,201612,29.8,33,-1.7,31.5
1400,Kansas,201701,33,102,4.4,28.6
1400,Kansas,201702,43.1,124,9.5,33.6
1400,Kansas,201703,48.9,117,6.5,42.4
1400,Kansas,201704,55.6,91,2.1,53.5
1400,Kansas,201705,62.2,43,-1.2,63.4
1400,Kansas,201706,75.1,91,1.8,73.3
1400,Kansas,201707,80.1,91,1.2,78.9
1400,Kansas,201708,73.1,8,-4.2,77.3
1400,Kansas,201709,70.5,92,1.9,68.6
1400,Kansas,201710,57.6,85,1.1,56.5
1400,Kansas,201711,45.2,104,3.2,42
1400,Kansas,201712,33.6,81,2.1,31.5
1400,Kansas,201801,29.9,66,1.3,28.6
1400,Kansas,201802,31.9,52,-1.7,33.6
1400,Kansas,201803,45.9,90,3.5,42.4
1400,Kansas,201804,47.6,3,-5.9,53.5
1400,Kansas,201805,71.1,127,7.7,63.4
1400,Kansas,201806,78.2,122,4.8,73.4
1400,Kansas,201807,78.7,68,-0.2,78.9
1400,Kansas,201808,75.7,39,-1.6,77.3
1400,Kansas,201809,70.1,85,1.5,68.6
1400,Kansas,201810,53.6,20,-2.9,56.5
1400,Kansas,201811,38.2,15,-3.8,42
1400,Kansas,201812,34.3,89,2.8,31.5
1400,Kansas,201901,31.3,83,2.7,28.6
1400,Kansas,201902,27.9,17,-5.7,33.6
1400,Kansas,201903,39.4,30,-3,42.4
1400,Kansas,201904,55.4,89,1.9,53.5
1400,Kansas,201905,60.5,18,-2.9,63.4
1400,Kansas,201906,72.4,46,-1,73.4
1400,Kansas,201907,78.6,62,-0.3,78.9
1400,Kansas,201908,77.1,62,-0.2,77.3
1400,Kansas,201909,75.2,125,6.6,68.6
1400,Kansas,201910,51.1,7,-5.4,56.5
1400,Kansas,201911,40.2,35,-1.8,42
1400,Kansas,201912,36.7,115,5.2,31.5
1400,Kansas,202001,33.9,111,5.3,28.6
1400,Kansas,202002,34.9,77,1.3,33.6
1400,Kansas,202003,48,111,5.6,42.4
1400,Kansas,202004,52.6,45,-0.9,53.5
1400,Kansas,202005,61.6,32,-1.8,63.4
1400,Kansas,202006,77.7,120,4.4,73.3
1400,Kansas,202007,79.2,77,0.3,78.9
1400,Kansas,202008,76.4,47,-0.9,77.3
1400,Kansas,202009,66.3,31,-2.3,68.6
1400,Kansas,202010,52.6,14,-3.9,56.5
1400,Kansas,202011,48,123,6,42
1400,Kansas,202012,35.8,107,4.3,31.5
1400,Kansas,202101,34,113,5.4,28.6
1400,Kansas,202102,24,7,-9.6,33.6
1400,Kansas,202103,48.1,113,5.7,42.4
1400,Kansas,202104,52.4,42,-1.1,53.5
1400,Kansas,202105,61.8,36,-1.6,63.4
1400,Kansas,202106,75.7,95,2.4,73.3
1400,Kansas,202107,77.6,38,-1.3,78.9
1500,Kentucky,201501,32.2,45,-1.4,33.6
1500,Kentucky,201502,26.3,4,-10.2,36.5
1500,Kentucky,201503,44.5,53,-0.9,45.4
1500,Kentucky,201504,57.4,88,2.2,55.2
1500,Kentucky,201505,67.3,103,2.9,64.4
1500,Kentucky,201506,74.2,96,1.6,72.6
1500,Kentucky,201507,76.5,74,0.2,76.3
1500,Kentucky,201508,72.8,15,-2,74.8
1500,Kentucky,201509,70.2,85,1.6,68.6
1500,Kentucky,201510,57.8,72,0.8,57
1500,Kentucky,201511,50.9,120,5.6,45.3
1500,Kentucky,201512,48.7,126,12.5,36.2
1500,Kentucky,201601,31.6,38,-2,33.6
1500,Kentucky,201602,38.9,85,2.4,36.5
1500,Kentucky,201603,51.8,117,6.4,45.4
1500,Kentucky,201604,57.3,86,2.1,55.2
1500,Kentucky,201605,62.9,38,-1.5,64.4
1500,Kentucky,201606,74.9,110,2.3,72.6
1500,Kentucky,201607,77.9,102,1.6,76.3
1500,Kentucky,201608,78,117,3.2,74.8
1500,Kentucky,201609,72.2,112,3.6,68.6
1500,Kentucky,201610,62.7,121,5.7,57
1500,Kentucky,201611,49.9,115,4.6,45.3
1500,Kentucky,201612,37,67,0.8,36.2
1500,Kentucky,201701,40.9,118,7.3,33.6
1500,Kentucky,201702,46.2,127,9.7,36.5
1500,Kentucky,201703,47.9,89,2.5,45.4
1500,Kentucky,201704,61.5,126,6.3,55.2
1500,Kentucky,201705,65,70,0.6,64.4
1500,Kentucky,201706,71.7,40,-0.9,72.6
1500,Kentucky,201707,76.9,86,0.6,76.3
1500,Kentucky,201708,73.1,19,-1.7,74.8
1500,Kentucky,201709,68.3,57,-0.3,68.6
1500,Kentucky,201710,59.4,102,2.4,57
1500,Kentucky,201711,47.1,90,1.8,45.3
1500,Kentucky,201712,35.8,47,-0.4,36.2
1500,Kentucky,201801,30,24,-3.6,33.6
1500,Kentucky,201802,44.6,125,8.1,36.5
1500,Kentucky,201803,44.1,49,-1.3,45.4
1500,Kentucky,201804,50.7,8,-4.5,55.2
1500,Kentucky,201805,71.8,127,7.4,64.4
1500,Kentucky,201806,75.5,116,2.9,72.6
1500,Kentucky,201807,76.6,77,0.3,76.3
1500,Kentucky,201808,75.8,89,1,74.8
1500,Kentucky,201809,73.1,117,4.5,68.6
1500,Kentucky,201810,58.9,93,1.9,57
1500,Kentucky,201811,41.9,18,-3.4,45.3
1500,Kentucky,201812,40.5,106,4.3,36.2
1500,Kentucky,201901,35.1,76,1.5,33.6
1500,Kentucky,201902,42.3,115,5.8,36.5
1500,Kentucky,201903,43.1,39,-2.3,45.4
1500,Kentucky,201904,57.8,98,2.6,55.2
1500,Kentucky,201905,68.4,116,4,64.4
